index,year,name,default,old,young,gender,nation,glass,zodiac,educationGeneral,educationDegree,educationGeneral_U1,educationGeneral_A1,educationGeneral_U2,educationGeneral_A2,educationGeneral_U3,educationGeneral_A3,educationAbroad,educationAbroad_img,educationAbroad_O,educationAbroad_U1,educationAbroad_A1,educationAbroad_U2,educationAbroad_A2,educationAbroad_U3,educationAbroad_A3,otherCareer,otherCareer_O1,otherCareer_role1_r,otherCareer_role1_b,otherCareer_role1_g,otherCareer_O2,otherCareer_role2_r,otherCareer_role2_b,teach,travel,travel_O1,travel_location1,travel_O2,travel_works,travel_O3,travel_figures,travel_O4,travel_location2,travel_O5,work,age,corbu,esTime,thingsDone_studied,thingsDone_worked,thingsDone_traveled,thingsDone_taught,thingsDone_O1,wonTime
0,2020,Yvonne Farrell ,2020_2,2020_2,2020_2,Female,Ireland,eye,Capricorn,Y,B.Arch,University College Dublin ,"(Dublin, Ireland, graduated in 1976)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2020_2,NA,2,,,,"taught,",before established her own practice.,42
1,2020,Shelley McNamara,2020_1,2020_1,2020_1,Female,Ireland,eye,NA,Y,B.Arch,University College Dublin,"(Dublin, Ireland, graduated in 1976)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2020_1,NA,2,,,,"taught,",before established her own practice.,42
2,2019,Arata Isozaki,2019,2019,2019,Male,Japan,eye,Leo,Y,B.Arch,University of Tokyo,"(Tokyo, Japan, graduated in 1954)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2019,NA,9,,"worked,",,,before established his own practice.,56
3,2018,B.V.Doshi,2018,2018,2018,Male,India,glass,Virgo,Y,B.Arch,Sir J. J. College of Architecture,"(Mumbai, India, graduated in 1950)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2018,Y,6,,"worked,",,,before established his own practice.,62
4,2017,Rafael Aranda ,2017_1,2017_1,2017_1,Male,Spain,eye,Taurus,Y,B.Arch,The Polytechnic University of Catalonia,"(Barcelona, Spain, graduated in 1987)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2017_1,NA,1,,,,,established his own practice the following year of graduation.,29
5,2017,Carme Pigem,2017_2,2017_2,2017_2,Female,Spain,eye,Aries,Y,B.Arch,The Polytechnic University of Catalonia,"(Barcelona, Spain, graduated in 1987)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2017_2,NA,1,,,,,established her own practice the following year of graduation.,29
6,2017,Ramon Vilalta,2017_3,2017_3,2017_3,Male,Spain,eye,Taurus,Y,B.Arch,The Polytechnic University of Catalonia,"(Barcelona, Spain, graduated in 1987)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2017_3,NA,1,,,,,established his own practice the following year of graduation.,29
7,2016,Alejandro Aravena,2016,2016,2016,Male,Chile,eye,Cancer,Y,M.Arch,Pontifical Catholic University of Chile,"(Santiago, Chile, graduated in 1992)",  ->  Iuav University of Venice,"(Venice, Italy,  graduated in 1993)",,,Y,chileToItaly,,Iuav University of Venice,"(Venice, Italy,  graduated in 1993)",,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2016,NA,2,"studied,",,,,before established his own practice.,22
8,2015,Frei Otto,2015,2015,2015,Male,Germany,eye,Gemini,Y,D.Eng,Technical University of Berlin ,"(Berlin, Germany)",  ->  University of Virginia,"(Virginia, United States)",,,Y,GermanyToUS,,University of Virginia,"(Virginia, United States)",,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2015,NA,2,"studied,",,"traveled,",,before established his own practice.,63
9,2014,Shigeru Ban,2014,2014,2014,Male,Japan,eye,Leo,Y,B.Arch,Tokyo University of the Arts,"(Tokyo, Japan)",  ->  Southern California Institute of Architecture,"(Los Angelers, United States) ", Cooper Union's School of Architecture ,"(New York City, United Sates)",Y,JapanToUS,,Southern California Institute of Architecture,"(Los Angelers, United States) ", Cooper Union's School of Architecture ,"(New York City, United Sates)",,,Y,had wanted to be ,"a carpenter, ",,,and ,a rugby player.,,Y,Y,had took a trip to,Europe,"after graduated from  Cooper Union. In Finland, he stunned by",the works of Alvar Aalto.,,,,,,Y,2014,NA,5,"studied,","worked,","traveled,",,before established his own practice.,29
10,2013,Toyo Ito,2013,2013,2013,Male,Japan,glass,Gemini,Y,B.Arch,University of Tokyo,"(Tokyo, Japan, graduated in 1965)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had wanted to be ,a baseball player.,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2013,NA,6,,"worked,",,,before established his own practice.,42
11,2012,Wang Shu,2012,2012,2012,Male,China,glass,Scorpio,Y,D.Arch,Southeast University,"(Nanjing, China, graduated in 1985, 1988)",  ->  Tongji University,"(Shanghai, China, graduated in 2000)",,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2012,NA,12,"studied,","worked,",,"taught,",before established his own practice.,15
12,2011,Eduardo Souto de Moura,2011,2011,2011,Male,Portugal,glass,Leo,Y,B.Arch,University of Porto,"(Porto, Portugal, graduated in 1980)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,began as an art student studying ,sculpture.,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2011,NA,0,,,,,"had worked as a student, and established his own practice the same year with graduation.",31
13,2010,Kazuyo Sejim ,2010_1,2010_1,2010_1,Female,Japan,glass,Aquarius,Y,M.Arch,Japan Women's University,"(Tokyo, Japan, graduated in 1979)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2010_1,NA,8,"studied,","worked,",,,"before established her own practice in 1987, and establish SANAA with  Ryue Nishizawa in 1995.",23
14,2010,Ryue Nishizawa,2010_2,2010_2,2010_2,Male,Japan,eye,Scorpio,Y,B.Arch,Yokohama National University,"(Yokohama, Japan)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2010_2,NA,7,,"worked,",,,"before established SANAA with Kazuyo Sejim in 1995, and establish Office of Ryue Nishizawa in 1997.",15
15,2009,Peter Zumthor,2009,2009,2009,Male,Switzerland,eye,Taurus,N,NA,Pratt Institute,"(New York, United States)",,,,,Y,SwitzerlandToUS,,Pratt Institute,"(New York, United States)",,,,,Y,had trained as,,,a cabinet maker.,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2009,NA,13,,"worked,",,,before established his own practice.,30
16,2008,Jean Nouvel,2008,2008,2008,Male,France,eye,Leo,Y,B.Arch,PSL Research University,"(Paris, France)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had reached a compromise with parents to study architecture instead of ,art,,,,,,N,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2008,NA,0,,,,,established his own practice the same year with graduation.,38
17,2007,Richard Rogers,2007,2007,2007,Male,Italy (United Kingdom),eye,Leo,Y,M.Arch,Epsom School of Art,"(Now University for the Creative Arts, Epsom, United Kingdom)",  ->  Architectural Association School of Architecture,"(London, United Kingdom, 1954 - 1959)",  ->  Yale University,"(New Haven, United States, graduated in 1962)",Y,ukToUS,,Yale University,"(New Haven, United States, graduated in 1962)",,,,,NA,didn't mention about other career in the biography.,,,,,,,N,Y,had made a number of trips across,the United States ,"while in Yale,  seeing"," the works of  Frank LIoyd Wright, Mies vaan der Rohe, Louis Kahn", and etc.,,,,,Y,2007,NA,4,"studied,",,"traveled,",,before established his own practice.,44
18,2006,Paulo Mendes da Rocha,2006,2006,2006,Male,Brazil,eye,Scorpio,Y,B.Arch,Mackenzie Presbyterian University,"(Sao Paulo, Brazil, 1954)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2006,NA,1,,,,,established his own practice the following year of graduation.,51
19,2005,Thom Mayne,2005,2005,2005,Male,United States,glass,Capricorn,Y,M.Arch,University of Southern California,"(Los Angeles, United States, 1968)",  ->  Harvard University ,"(GSD, Cambridge, United States, 1978)",,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2005,NA,4,,"worked,",,"taught,","co-created Southern California Institute of Architecture, before established his own practice.",33
20,2004,Zaha Hadid,2004,2004,2004,Female,Iraq (United Kingdom),eye,Scorpio,Y,B.Arch,Architectural Association School of Architecture,"(AA, London, United Kingdom, 1972)",,,,,Y,IraqToUS,,Architectural Association School of Architecture,"(AA, London, United Kingdom, 1972)",,,,,Y,had studied ,mathematics,,,in the college.,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2004,NA,3,,"worked,",,,before established her own practice.,24
21,2003,Jorn Utzon,2003,2003,2003,Male,Denmark,eye,Aries,Y,B.Arch,Royal Danish Academy of Fine Arts,"(Copenhagen, Denmark, gratuated in 1942)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had interested in becoming ,,,a naval architect,like his father.,,,Y,Y,had traveled extensively,around the world ,from 1947 to 1957.,,,,,,,Y,2003,NA,8,,"worked,","traveled,",,before established his own practice.,53
22,2002,Glenn Murcutt,2002,2002,2002,Male,Australia,glass,Leo,Y,B.Arch,University of New South Wales,"(Sydney, Australia)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,Y,had went on a two year-trip to,Europe, after graduated from college.,,,,,,,N,2002,NA,8,,"worked,","traveled,",,before established his own practice.,33
23,2001,Jacques Herzog,2001_1,2001_1,2001_1,Male,Switzerland,eye,Taurus,Y,B.Arch,ETH Zurich,"(Zurich, Switzerland)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had studied ,"commercial design, ",,,and ,biology and chemistry.,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2001_1,NA,3,,,,,established his own practice with Jacques Herzog in 1978 .,23
24,2001,Pierre de Meuron,2001_2,2001_2,2001_2,Male,Switzerland,eye,Aries,Y,B.Arch,ETH Zurich,"(Zurich, Switzerland)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had studied ,civil engineering.,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,2001_2,NA,3,,,,,established his own practice Pierre de Meuron in 1978.,23
25,2000,Rem Koolhaas,2000,2000,2000,Male,Netherland,eye,Scorpio,Y,B.Arch,Architectural Association School of Architecture,"(London, United Kingdom, 1968)",  ->  Cornell University,"(Itchaca, United States, 1972)",  ->  Institute for Architecture and Urban Studies,"(New York City, United States)",Y,NToUKToUS,,Architectural Association School of Architecture,"(London, United Kingdom, 1968)",  ->  Cornell University,"(Itchaca, United States, 1972)",  ->  Institute for Architecture and Urban Studies,"(New York City, United States)",Y,had began his career as ,,"a journalist, ",,and ,,a scriptwriter.,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,2000,NA,3,"studied,",,,,before established his own practice.,25
26,1999,Norman Foster,1999,1999,1999,Male,United Kingdom,eye,Gemini,Y,M.Arch,University of Manchester,"(Manchester, United Kingdom, 1956)",  ->  Yale University,"(New Haven, United States)",,,Y,ukToUS,,Yale University,"(New Haven, United States)",,,,,NA,didn't mention about other career in the biography.,,,,,,,N,Y,had made a number of trips across,the United States," while in Yale, seeing","the works of  Frank Lioyd Wright, Mies vaan der Rohe, Louis Kahn ",and etc.,,,,,Y,1999,NA,2,"studied,",,,,before established his own practice.,36
27,1998,Renzo Piano,1998,1998,1998,Male,Italy,eye,Virgo,Y,B.Arch,Polytechnic University of Milan,"(Milan, Italy, graduated in 1964)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,1998,NA,7,,"worked,",,"taught,",before established his own practice with Richard Rogers (1971 - 1977).,27
28,1997,Sverre Fehn,1997,1997,1997,Male,Norway,eye,Leo,Y,B.Arch,The Oslo School of Architecture and Design,"(Oslo, Norway, 1946 - 1949)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,Y,had traveled to,Morocco,"where  its native  architecture	deeply infulenced his future work.",,,,,,,Y,1997,NA,5,,"worked,","traveled,",,before established his own practice.,43
29,1996,Rafael Moneo,1996,1996,1996,Male,Spain,glass,Taurus,Y,B.Arch,Technical University of Madrid,"(Madrid, Spain, graduated in 1961)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,was attracted to ,philosophy ,,,and, painting,,Y,Y,had traveled around,the Scandinavian countries, where he met with,,,"Alvar Aalto,",and then studied and traveled around  at the Spanish Academy in Rome.,,,Y,1996,NA,4,,"worked,","traveled,",,before established his own practice.,31
30,1995,Tadao Ando,1995,1995,1995,Male,Japan,eye,Virgo,N,NA,Tadao Ando is a self-taught architect.,,,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had been ,,a boxer.,,,,,Y,Y,had traveled to, Europe and the United States,"in 1960s, visiting","works of Le Corbusier, Mies van der Rohe, Frank Lioyd Wright, Louis Kahn ",and etc.,,,,,N,1995,Y,1995,,,"traveled,",,before established his own practice (without formal training as an architect).,27
31,1994,Christian de Portzamparc,1994,1994,1994,Male,France,eye,Taurus,Y,B.Arch,PSL Research University,"(Paris, France, 1962)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,"had hesitated to be an architect, during which he taveled, and joined study groups.",,,,,,,N,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1994,Y,11,,,"traveled,",,before established his own practice.,14
32,1993,Fumihiko Maki,1993,1993,1993,Male,Japan,glass,Virgo,Y,M.Arch,University of Tokyo,"(Tokyo, Japan, graduated in 1952)",  ->  Cranbrook Educational Community,"(Bloomfield Hills, United States, graduated in 1953)",  ->  Harvard University,"(GSD, Cambridge, United States, graduated in 1954)",Y,JapanToUS,,Cranbrook Educational Community,"(Bloomfield Hills, United States, graduated in 1953)",  ->  Harvard University,"(GSD, Cambridge, United States, graduated in 1954)",,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1993,NA,13,"studied,","worked,",,"taught,",before established his own practice.,28
33,1992,Alvaro Siza Vieira,1992,1992,1992,Male,Portugal,glass,Cancer,Y,B.Arch,University of Porto,"(Porto, Portugal, graduated in 1955)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,Y,1992,NA,-1,,,,,established his own practice one year before graduation.,38
34,1991,Robert Venturi,1991,1991,1991,Male,United States,glass,Cancer,Y,MFA,Princeton University,"(New Jersey, United States, graduated in 1947, 1950)",  -> American Academy in Rome,"(Rome, Italy, 1954 -1956)",,,Y,usToItaly,,American Academy in Rome,"(Rome, Italy, 1954 -1956)",,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,Y,had studied and traveled in,Europe, while at the American Academy in Rome.,,,,,,,N,1991,Y,11,"studied,","worked,",,"taught,",before established his own practice.,33
35,1990,Aldo Rossi,1990,1990,1990,Male,Italy,eye,Taurus,Y,NA,Polytechnic University of Milan,"(Milan, Italy, 1949 - 1959)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1990,NA,1990,,,,,"never established his own firm or studio, but began his professional career in 1956.",34
36,1989,Frank Gehry,1989,1989,1989,Male,United States (Canada),glass,Pisces,Y,B.Arch,University of Southern California,"(Los Angeles, United States, graduated in 1954)",  ->  Harvard University,"(GSD, Cambridge, United States, 1956, left before completing the program)",,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had tried ,"radio announcing, ",,,and ,chemical engineering.,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1989,NA,8,"studied,","worked,",,,before established his own practice.,27
37,1988,Gordon Bunshaft,1988_1,1988_1,1988_1,Male,United States,eye,Sagittarius,Y,M.Arch,Massachusetts Institute of Technology,"(Cambridge, United States, graduated in 1933, 1935)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,N,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1988_1,Y,1988_1,,,,,"never established his own firm or studio,  but joined SOM (1939-1942,  1946-1979) , U.S. Army Corps of Engineers (1942 -1946)",48
38,1988,Oscar Niemeyer,1988_2,1988_2,1988_2,Male,Brazil,eye,Taurus,Y,B.Arch,University of Brazil,"(Federal University of Rio de Janeiro, Rio, Brazil, graduated in 1934)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1988_2,Y,1988_2,,"worked,",,,"before opened his office in Paris after 1964, but began his first practice, Pampulha Architectural Complex, in 1940.",51
39,1987,Kenzo Tange,1987,1987,1987,Male,Japan,eye,Virgo,Y,MUP,University of Tokyo,"(Tokyo, Japan, 1935)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1987,Y,11,,,,"taught,",before established his own practice.,41
40,1986,Gottfried Bohm,1986,1986,1986,Male,Germany,glass,Aquarius,N,B.E.,Technical University of Munich,"(Munich, Germany)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,Y,had studied and traveled in,"the United States,",and met,,,"Mies van der Rohe and Walter Groplus,",the architects he admired.,,,N,1986,NA,9,"studied,","worked,",,,before he took over the family firm in 1955.,31
41,1985,Hans Hollein,1985,1985,1985,Male,Austria,eye,Aries,Y,M.Arch,Academy of Fine Arts Vienna,"(Vienna, Austria, graduated in 1956)",  ->  Illinois Institute of Technology,"(Chicago, United State)","  ->  University of California, Berkeley","(Berkeley, United States, graduated in 1960)",Y,austriaToUs,,Illinois Institute of Technology,"(Chicago, United State)","  ->  University of California, Berkeley","(Berkeley, United States, graduated in 1960)",,,NA,didn't mention about other career in the biography.,,,,,,,Y,Y,had studied and traveled in,"the United States,",and met,,,"Mies van der Rohe, Frank Lloyd Wright and Richard Neutra,",the architects he admired.,,,N,1985,NA,9,"studied,","worked,","traveled,",,before established his own practice.,20
42,1984,Richard Meier,1984,1984,1984,Male,United States,glass,Libra,Y,B.Arch,Cornell University ,"(Itchaca, United States, graduated in 1957)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,N,Y,had traveled through,Europe,and,,,networked with other architects,after graduted from college.,,,N,1984,Y,6,,"worked,","traveled,",,before established his own practice.,21
43,1983,Ieoh Ming Pei,1983,1983,1983,Male,United States (China),glass,Taurus,Y,M.Arch,University of Pennsylvania,"(Philadelphia, United States)",  ->  Massachusetts Institute of Technology,"(Cambridge, United States) ",  ->  Harvard University,"(GSD, Cambridge, United States, graduated in 1946)",Y,ChinaToUS,,University of Pennsylvania,"(Philadelphia, United States)",  ->  Massachusetts Institute of Technology,"(Cambridge, United States) ",  ->  Harvard University,"(GSD, Cambridge, United States, graduated in 1946)",NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1983,Y,15,"studied,","worked,",,"taught,",before established his own practice.,28
44,1982,Kevin Roche,1982,1982,1982,Male,United States (Ireland),eye,Gemini,Y,B.Arch,University College Dublin,"(Dublin, Ireland, graduated in 1945)",  ->  Illinois Institute of Technology,"(Chicago, United States, 1948, left after only one semester)",,,Y,IrelandToUS,,Illinois Institute of Technology,"(Chicago, United States, 1948, left after only one semester)",,,,,NA,didn't mention about other career in the biography.,,,,,,,N,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1982,NA,21,"studied,","worked,",,,before established his own practice.,16
45,1981,James Stirling,1981,1981,1981,Male,United Kingdom,eye,Taurus,Y,B.Arch,University of Liverpool,"(Liverpool, United Kingdom, 1945 - 1950)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,NA,didn't mention about other career in the biography.,,,,,,,Y,N,didn't mention about long (important) trips in the biography.,,,,,,,,,N,1981,NA,5,,"worked,",,,before established his own practice.,26
46,1980,Luis Barragan,1980,1980,1980,Male,Mexico,glass,Pisces,N,B.E.,Luis Barragan is a self-taught architect.,,,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had trained in,engineering.,,,,,,N,Y,had traveled extansively in,"France and Spain,",and attended,,,Le Corbusier's,lecture while lived in Paris. Later in ,"Morroco,",he got interested in its native architecture.,N,1980,Y,1980,,,"traveled,",,before established his own practice (without formal training as an architect).,53
47,1979,Philip Johnson,1979,1979,1979,Male,United States,glass,Cancer,Y,B.Arch,Harvard University,"(GSD, Cambridge, United States, 1941)",,,,,N,,didn't study architecture design in the college abroad.,,,,,,,Y,had been,,"a museum director, ",,and briefly into ,,journalism and politics.,N,Y,had traveled through, Europe ,"after graduated in 1927, during which met",,, Mies van der Rohe.,,,,N,1979,NA,-2,,,,,"started his own practice two years before graduation, and opened his own firm in 1967.",38